PolyX,PolyY,PolyZ,Tf,T0,T1
0.1*t**3 - 1.0*t**2,0.1*t**3 - 1.0*t**2,"      3     2
-0.2 t + 3 t",10.0,0,10.0
10*t + 1950.04042840317*(0.1*t - 1)**3 - 814.413298813819*(0.1*t - 1)**2 - 100.0,10*t + 78.0778638765618*(0.1*t - 1)**3 - 32.6083755792268*(0.1*t - 1)**2 - 100.0," 
100",2.7842612455671656,10.0,12.784261245567166
10*t + 0.168132071087517*(0.0782211799955779*t - 1)**3 - 0.370456589308831*(0.0782211799955779*t - 1)**2 - 121.044740115246,10*t + 112.188779076417*(0.0782211799955779*t - 1)**3 - 247.193008368617*(0.0782211799955779*t - 1)**2 - 100.842612455672," 
100",18.77894279670352,12.784261245567166,31.563204042270687
10*t + 3514.79025972399*(0.0316824615986628*t - 1)**3 - 3155.3708736893*(0.0316824615986628*t - 1)**2 - 121.311184807734,10*t + 1575.76097838102*(0.0316824615986628*t - 1)**3 - 1414.62503525604*(0.0316824615986628*t - 1)**2 - 278.632040422707," 
100",18.890385552833177,31.563204042270687,50.453589595103864
10*t + 40.094231003041*(0.019820195312665*t - 1)**3 - 22.5682988246611*(0.019820195312665*t - 1)**2 - 498.057172546783,10*t + 6408.9220179122*(0.019820195312665*t - 1)**3 - 3607.46330895382*(0.019820195312665*t - 1)**2 - 447.535895951039," 
100",18.932926396530306,50.453589595103864,69.38651599163417
10*t + 37008.318939614*(0.0144120220724235*t - 1)**3 - 15181.0866767085*(0.0144120220724235*t - 1)**2 - 499.116496814737,10*t + 16600.044141726*(0.0144120220724235*t - 1)**3 - 6809.4611204558*(0.0144120220724235*t - 1)**2 - 616.865159916342," 
100",18.97524202927768,69.38651599163417,88.36175802091185
10*t + 211.552953954257*(0.0113171129954583*t - 1)**3 - 68.2976780039182*(0.0113171129954583*t - 1)**2 - 877.564388719757,10*t + 34138.644349107*(0.0113171129954583*t - 1)**3 - 11021.3074110503*(0.0113171129954583*t - 1)**2 - 786.617580209119," 
100",19.017785017480463,88.36175802091185,107.37954303839231
10*t + 135948.28920494*(0.00931276080810347*t - 1)**3 - 36196.6761573708*(0.00931276080810347*t - 1)**2 - 878.618959795688,10*t + 61009.9373715168*(0.00931276080810347*t - 1)**3 - 16244.0951506878*(0.00931276080810347*t - 1)**2 - 956.795430383923," 
100",19.06010276906524,107.37954303839231,126.43964580745755
10*t + 608.87841993819*(0.00790891174689623*t - 1)**3 - 137.985083468952*(0.00790891174689623*t - 1)**2 - 1258.76879850011,10*t + 99188.7576821523*(0.00790891174689623*t - 1)**3 - 22478.3282832455*(0.00790891174689623*t - 1)**2 - 1127.39645807458," 
100",19.10264787322582,126.43964580745755,145.54229368068337
10*t + 335527.869302722*(0.00687085502578363*t - 1)**3 - 66204.1602787887*(0.00687085502578363*t - 1)**2 - 1259.81865873197,10*t + 150650.437460258*(0.00687085502578363*t - 1)**3 - 29725.3570274665*(0.00687085502578363*t - 1)**2 - 1298.42293680683," 
100",19.144967715503583,145.54229368068337,164.68726139618695
10*t + 335.954978210758*(0.00607211505930812*t - 1)**3 - 58.4401820757967*(0.00607211505930812*t - 1)**2 - 1641.6704863023,10*t + 232089.174556387*(0.00607211505930812*t - 1)**3 - 40372.4739878378*(0.00607211505930812*t - 1)**2 - 1469.87261396187," 
100",19.098498639741422,164.68726139618695,183.78576003592838
10*t + 291686.195967013*(0.00544111796150316*t - 1)**3 - 64478.0783472443*(0.00544111796150316*t - 1)**2 - 1641.93246666944,10*t + 286108.820577063*(0.00544111796150316*t - 1)**3 - 63245.1833651113*(0.00544111796150316*t - 1)**2 - 1650.85760035928," 
100",27.08424966865087,183.78576003592838,210.87000970457925
10*t + 1875315.96001582*(0.00474225804513862*t - 1)**3 - 133398.482978428*(0.00474225804513862*t - 1)**2 - 2108.70009704579,10*t + 1875315.96001582*(0.00474225804513862*t - 1)**3 - 133398.482978428*(0.00474225804513862*t - 1)**2 - 2108.70009704579,"     3     2
0.2 t - 3 t + 100",10.0,210.87000970457925,220.87000970457925
